Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,acquisition-64dirVARIANTDim3SizeNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__17,acquisition-64dir_datatype-dwi_suffix-dwi,17,1,104.0,104.0,5619.0,0.1,0.00041,90.0,False,,0,1.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__18,acquisition-64dir_datatype-dwi_suffix-dwi,18,1,104.0,104.0,72.0,0.1,0.00041,90.0,False,,0,129.0,True,2.0,1.0,i,3.32,0.043,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeNumVolumesVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__19,acquisition-64dir_datatype-dwi_suffix-dwi,19,1,96.0,96.0,72.0,0.094,0.00072,90.0,False,3.0,72,103.0,False,,0.75,j-,4.5,0.068,False,2.0,2.0,2.0
,,,acquisition-64dirVARIANTDim3SizeNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__20,acquisition-64dir_datatype-dwi_suffix-dwi,20,1,104.0,104.0,5565.0,0.1,0.00041,90.0,False,,0,1.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__21,acquisition-64dir_datatype-dwi_suffix-dwi,21,1,104.0,104.0,72.0,0.1,0.00039,90.0,False,3.0,72,122.0,True,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTNumVolumes_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__22,acquisition-64dir_datatype-dwi_suffix-dwi,22,1,104.0,104.0,72.0,0.1,0.00039,90.0,False,3.0,72,85.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTDim3SizeNumVolumesObliquity_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__23,acquisition-64dir_datatype-dwi_suffix-dwi,23,1,104.0,104.0,4131.0,0.1,0.00041,90.0,False,,0,1.0,True,2.0,1.0,j-,3.32,0.043,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTRepetitionTimeDim1SizeDim2SizeDim3SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__24,acquisition-64dir_datatype-dwi_suffix-dwi,24,1,140.0,140.0,81.0,0.089,0.00067,90.0,False,,0,129.0,True,,0.75,j-,4.1,0.093,False,1.714,1.714,1.7
,,,acquisition-64dirVARIANTNumVolumes_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__25,acquisition-64dir_datatype-dwi_suffix-dwi,25,1,104.0,104.0,72.0,0.1,0.00039,90.0,False,3.0,72,49.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,acquisition-64dirVARIANTNumVolumes_datatype-dwi_suffix-dwi,acquisition-64dir_datatype-dwi_suffix-dwi__26,acquisition-64dir_datatype-dwi_suffix-dwi,26,1,104.0,104.0,72.0,0.1,0.00039,90.0,False,3.0,72,83.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
