Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,DwellTime,EchoTime,EffectiveEchoSpacing,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,IntendedForKey06,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__21,acquisition-64dir_datatype-dwi_suffix-dwi,21,1,104.0,104.0,72.0,3.3e-06,0.1002,0.000389997,90.0,,,,,,,,3.0,72,122.0,True,2.0,1.0,j-,3.32,0.0401697,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__22,acquisition-64dir_datatype-dwi_suffix-dwi,22,1,104.0,104.0,72.0,3.3e-06,0.1002,0.000389997,90.0,,,,,,,,3.0,72,85.0,False,2.0,1.0,j-,3.32,0.0401697,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__23,acquisition-64dir_datatype-dwi_suffix-dwi,23,1,104.0,104.0,4131.0,3.5e-06,0.1002,0.000414993,90.0,,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.0427443,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__24,acquisition-64dir_datatype-dwi_suffix-dwi,24,1,104.0,104.0,6009.0,3.5e-06,0.1002,0.000414993,90.0,,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.0427443,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__25,acquisition-64dir_datatype-dwi_suffix-dwi,25,1,104.0,104.0,72.0,3.3e-06,0.1002,0.000389997,90.0,,,,,,,,3.0,72,97.0,False,2.0,1.0,j-,3.32,0.0401697,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__26,acquisition-64dir_datatype-dwi_suffix-dwi,26,1,96.0,96.0,72.0,3.2e-06,0.0938,0.00071998,90.0,,,,,,,,3.0,72,103.0,False,,0.75,j-,4.5,0.0683981,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__27,acquisition-64dir_datatype-dwi_suffix-dwi,27,1,104.0,104.0,72.0,3.3e-06,0.1002,0.000389997,90.0,,,,,,,,3.0,72,83.0,False,2.0,1.0,j-,3.32,0.0401697,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__28,acquisition-64dir_datatype-dwi_suffix-dwi,28,1,104.0,104.0,72.0,3.3e-06,0.1002,0.000389997,90.0,,,,,,,,3.0,72,120.0,False,2.0,1.0,j-,3.32,0.0401697,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__29,acquisition-64dir_datatype-dwi_suffix-dwi,29,1,104.0,104.0,5649.0,3.5e-06,0.1002,0.000414993,90.0,,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.0427443,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__30,acquisition-64dir_datatype-dwi_suffix-dwi,30,1,104.0,104.0,72.0,3.3e-06,0.1002,0.000389997,90.0,,,,,,,,3.0,72,49.0,False,2.0,1.0,j-,3.32,0.0401697,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__31,acquisition-64dir_datatype-dwi_suffix-dwi,31,1,104.0,104.0,6373.0,3.5e-06,0.1002,0.000414993,90.0,,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.0427443,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__32,acquisition-64dir_datatype-dwi_suffix-dwi,32,1,96.0,96.0,72.0,3.2e-06,0.0938,0.00071998,90.0,,,,,,,,3.0,72,22.0,False,,0.75,j-,4.5,0.0683981,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__33,acquisition-64dir_datatype-dwi_suffix-dwi,33,1,104.0,104.0,9126.0,3.5e-06,0.1002,0.000414993,90.0,,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.0427443,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__34,acquisition-64dir_datatype-dwi_suffix-dwi,34,1,96.0,96.0,72.0,3.2e-06,0.0938,0.00071998,90.0,,,,,,,,3.0,72,96.0,False,,0.75,j-,4.5,0.0683981,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__35,acquisition-64dir_datatype-dwi_suffix-dwi,35,1,96.0,96.0,72.0,3.2e-06,0.0938,0.00071998,90.0,,,,,,,,3.0,72,44.0,False,,0.75,j-,4.5,0.0683981,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__36,acquisition-64dir_datatype-dwi_suffix-dwi,36,1,96.0,96.0,72.0,3.2e-06,0.0946,0.000739978,90.0,,,,,,,,3.0,72,129.0,False,,0.75,j-,4.5,0.0702979,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__37,acquisition-64dir_datatype-dwi_suffix-dwi,37,1,104.0,104.0,6201.0,3.5e-06,0.1002,0.000414993,90.0,,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.0427443,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__38,acquisition-64dir_datatype-dwi_suffix-dwi,38,1,140.0,140.0,81.0,2.1e-06,0.089,0.000669999,90.0,,,,,,,,3.0,81,129.0,False,,0.75,j-,4.1,0.0931298,1.714,1.714,1.7
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__39,acquisition-64dir_datatype-dwi_suffix-dwi,39,1,96.0,96.0,72.0,3.2e-06,0.0938,0.00071998,90.0,,,,,,,,3.0,72,11.0,False,,0.75,j-,4.5,0.0683981,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__40,acquisition-64dir_datatype-dwi_suffix-dwi,40,1,104.0,104.0,6059.0,3.5e-06,0.1002,0.000414993,90.0,,,,,,,,,0,,True,2.0,1.0,j-,3.32,0.0427443,1.798,1.798,1.8
,,,,acquisition-HCP_datatype-anat_run-1_suffix-T1w__1,acquisition-HCP_datatype-anat_run-1_suffix-T1w,1,136,224.0,320.0,320.0,1.2e-05,0.00315,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_run-1_suffix-T1w__2,acquisition-HCP_datatype-anat_run-1_suffix-T1w,2,1,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,acquisition-HCP_datatype-anat_run-1_suffix-T2w__1,acquisition-HCP_datatype-anat_run-1_suffix-T2w,1,2,224.0,320.0,320.0,2.1e-06,0.565,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_run-2_suffix-T1w__1,acquisition-HCP_datatype-anat_run-2_suffix-T1w,1,136,224.0,320.0,320.0,1.2e-05,0.00315,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_run-2_suffix-T1w__2,acquisition-HCP_datatype-anat_run-2_suffix-T1w,2,1,144.0,256.0,256.0,1.5e-05,0.00315,,8.0,,,,,,,,,0,,False,4.0,1.0,,2.5,,0.8,1.0,1.0
,,,,acquisition-HCP_datatype-anat_run-2_suffix-T2w__1,acquisition-HCP_datatype-anat_run-2_suffix-T2w,1,2,224.0,320.0,320.0,2.1e-06,0.565,,120.0,,,,,,,,,0,,False,2.0,1.0,,3.2,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__1,acquisition-HCP_datatype-anat_suffix-T1w,1,2318,224.0,320.0,320.0,1.2e-05,0.00315,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__2,acquisition-HCP_datatype-anat_suffix-T1w,2,2,176.0,320.0,320.0,1.2e-05,0.00315,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,1.0,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__3,acquisition-HCP_datatype-anat_suffix-T1w,3,2,,,,,,,,,,,,,,,,0,,,,,,,,,,
,,,,acquisition-HCP_datatype-anat_suffix-T1w__4,acquisition-HCP_datatype-anat_suffix-T1w,4,1,224.0,320.0,320.0,1.2e-05,0.00318,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.769,0.769
,,,,acquisition-HCP_datatype-anat_suffix-T1w__5,acquisition-HCP_datatype-anat_suffix-T1w,5,1,320.0,320.0,224.0,1.2e-05,0.00315,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__6,acquisition-HCP_datatype-anat_suffix-T1w,6,1,144.0,256.0,256.0,1.5e-05,0.00315,,8.0,,,,,,,,,0,,False,4.0,1.0,,2.5,,0.8,1.0,1.0
,,,,acquisition-HCP_datatype-anat_suffix-T1w__7,acquisition-HCP_datatype-anat_suffix-T1w,7,1,192.0,320.0,320.0,1.2e-05,0.00315,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__8,acquisition-HCP_datatype-anat_suffix-T1w,8,1,131.0,320.0,320.0,1.2e-05,0.00315,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__9,acquisition-HCP_datatype-anat_suffix-T1w,9,1,24.0,320.0,320.0,1.2e-05,0.00315,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
,,,,acquisition-HCP_datatype-anat_suffix-T1w__10,acquisition-HCP_datatype-anat_suffix-T1w,10,1,21.0,320.0,320.0,1.2e-05,0.00315,,8.0,,,,,,,,,0,,False,2.0,1.0,,2.5,,0.8,0.8,0.8
