Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,acquisition-VARIANTObliquity_datatype-fmap_fmap-magnitude1_suffix-magnitude1,datatype-fmap_fmap-magnitude1_suffix-magnitude1__5,datatype-fmap_fmap-magnitude1_suffix-magnitude1,5,1,64,64,44,0.003,,60,FALSE,1513,fmap,0,1.0,TRUE,,1.0,j-,1.0,,TRUE,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__1,datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,1504,64,64,44,0.005,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,TRUE,3.75,3.75,4.0
,,,acquisition-VARIANTUnused_datatype-fmap_fmap-magnitude2_suffix-magnitude2,datatype-fmap_fmap-magnitude2_suffix-magnitude2__2,datatype-fmap_fmap-magnitude2_suffix-magnitude2,2,4,64,64,44,0.005,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,FALSE,3.75,3.75,4.0
,,,acquisition-VARIANTVoxelSizeDim3_datatype-fmap_fmap-magnitude2_suffix-magnitude2,datatype-fmap_fmap-magnitude2_suffix-magnitude2__3,datatype-fmap_fmap-magnitude2_suffix-magnitude2,3,2,64,64,46,0.005,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,TRUE,3.75,3.75,3.0
,,,acquisition-VARIANTVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_fmap-magnitude2_suffix-magnitude2,datatype-fmap_fmap-magnitude2_suffix-magnitude2__4,datatype-fmap_fmap-magnitude2_suffix-magnitude2,4,2,64,64,46,0.005,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,TRUE,3.0,3.0,3.0
,,,acquisition-VARIANTObliquity_datatype-fmap_fmap-magnitude2_suffix-magnitude2,datatype-fmap_fmap-magnitude2_suffix-magnitude2__5,datatype-fmap_fmap-magnitude2_suffix-magnitude2,5,1,64,64,44,0.005,,60,FALSE,1513,fmap,0,1.0,TRUE,,1.0,j-,1.0,,TRUE,3.75,3.75,4.0
,,,,datatype-fmap_fmap-phase1_suffix-phase1__1,datatype-fmap_fmap-phase1_suffix-phase1,1,1504,64,64,44,0.003,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,TRUE,3.75,3.75,4.0
,,,acquisition-VARIANTUnused_datatype-fmap_fmap-phase1_suffix-phase1,datatype-fmap_fmap-phase1_suffix-phase1__2,datatype-fmap_fmap-phase1_suffix-phase1,2,4,64,64,44,0.003,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,FALSE,3.75,3.75,4.0
,,,acquisition-VARIANTVoxelSizeDim3_datatype-fmap_fmap-phase1_suffix-phase1,datatype-fmap_fmap-phase1_suffix-phase1__3,datatype-fmap_fmap-phase1_suffix-phase1,3,2,64,64,46,0.003,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,TRUE,3.75,3.75,3.0
,,,acquisition-VARIANTVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_fmap-phase1_suffix-phase1,datatype-fmap_fmap-phase1_suffix-phase1__4,datatype-fmap_fmap-phase1_suffix-phase1,4,2,64,64,46,0.003,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,TRUE,3.0,3.0,3.0
,,,acquisition-VARIANTObliquity_datatype-fmap_fmap-phase1_suffix-phase1,datatype-fmap_fmap-phase1_suffix-phase1__5,datatype-fmap_fmap-phase1_suffix-phase1,5,1,64,64,44,0.003,,60,FALSE,1513,fmap,0,1.0,TRUE,,1.0,j-,1.0,,TRUE,3.75,3.75,4.0
,,,,datatype-fmap_fmap-phase2_suffix-phase2__1,datatype-fmap_fmap-phase2_suffix-phase2,1,1504,64,64,44,0.005,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,TRUE,3.75,3.75,4.0
,,,acquisition-VARIANTUnused_datatype-fmap_fmap-phase2_suffix-phase2,datatype-fmap_fmap-phase2_suffix-phase2__2,datatype-fmap_fmap-phase2_suffix-phase2,2,4,64,64,44,0.005,,60,FALSE,1513,fmap,0,1.0,FALSE,,1.0,j-,1.0,,FALSE,3.75,3.75,4.0
