KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3,FilePath
datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,,True,,,0.011,,False,0.9375,0.9375,1.2,/cbica/projects/RBC/HRC/working/HRC_datalad/sub-20611/ses-1/anat/sub-20611_ses-1_rec-refaced_run-1_T1w.nii.gz
datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,,True,,,0.011,,False,0.9375,0.9375,1.2,/cbica/projects/RBC/HRC/working/HRC_datalad/sub-20611/ses-2/anat/sub-20611_ses-2_rec-refaced_run-1_T1w.nii.gz
datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,,True,,,0.011,,False,0.9375,0.9375,1.2,/cbica/projects/RBC/HRC/working/HRC_datalad/sub-20613/ses-1/anat/sub-20613_ses-1_rec-refaced_run-1_T1w.nii.gz
datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,,True,,,0.011,,False,0.9375,0.9375,1.2,/cbica/projects/RBC/HRC/working/HRC_datalad/sub-20614/ses-1/anat/sub-20614_ses-1_rec-refaced_run-1_T1w.nii.gz
datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,,True,,,0.011,,False,0.9375,0.9375,1.2,/cbica/projects/RBC/HRC/working/HRC_datalad/sub-20614/ses-2/anat/sub-20614_ses-2_rec-refaced_run-1_T1w.nii.gz
datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,,True,,,0.011,,False,0.9375,0.9375,1.2,/cbica/projects/RBC/HRC/working/HRC_datalad/sub-20615/ses-1/anat/sub-20615_ses-1_rec-refaced_run-1_T1w.nii.gz
datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,,True,,,0.011,,False,0.9375,0.9375,1.2,/cbica/projects/RBC/HRC/working/HRC_datalad/sub-20615/ses-2/anat/sub-20615_ses-2_rec-refaced_run-1_T1w.nii.gz
datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,,True,,,0.011,,False,0.9375,0.9375,1.2,/cbica/projects/RBC/HRC/working/HRC_datalad/sub-20616/ses-1/anat/sub-20616_ses-1_rec-refaced_run-1_T1w.nii.gz
datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,,True,,,0.011,,False,0.9375,0.9375,1.2,/cbica/projects/RBC/HRC/working/HRC_datalad/sub-20620/ses-2/anat/sub-20620_ses-2_rec-refaced_run-1_T1w.nii.gz
datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,,True,,,0.011,,False,0.9375,0.9375,1.2,/cbica/projects/RBC/HRC/working/HRC_datalad/sub-20581/ses-1/anat/sub-20581_ses-1_rec-refaced_run-1_T1w.nii.gz
datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,,True,,,0.011,,False,0.9375,0.9375,1.2,/cbica/projects/RBC/HRC/working/HRC_datalad/sub-20579/ses-2/anat/sub-20579_ses-2_rec-refaced_run-1_T1w.nii.gz
datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,,True,,,0.011,,False,0.9375,0.9375,1.2,/cbica/projects/RBC/HRC/working/HRC_datalad/sub-20624/ses-1/anat/sub-20624_ses-1_rec-refaced_run-1_T1w.nii.gz
