Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,datatype-anat_reconstruction-refaced_run-1_suffix-T1w__1,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,1,715,256,256,152,0.0042,,15,False,902,anat,0,1.0,True,,,0.011,,False,0.9375,0.9375,1.2
,,,acquisition-VARIANTDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w,datatype-anat_reconstruction-refaced_run-1_suffix-T1w__2,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,2,143,256,256,138,0.0042,,15,False,902,anat,0,1.0,True,,,0.011,,False,0.9375,0.9375,1.2
,,,acquisition-VARIANTDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w,datatype-anat_reconstruction-refaced_run-1_suffix-T1w__3,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,3,28,256,256,118,0.0042,,15,False,902,anat,0,1.0,True,,,0.011,,False,0.9375,0.9375,1.2
,,,acquisition-VARIANTObliquity_datatype-anat_reconstruction-refaced_run-1_suffix-T1w,datatype-anat_reconstruction-refaced_run-1_suffix-T1w__4,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,4,14,256,256,152,0.0042,,15,False,902,anat,0,1.0,False,,,0.011,,False,0.9375,0.9375,1.2
,,,acquisition-VARIANTDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w,datatype-anat_reconstruction-refaced_run-1_suffix-T1w__5,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,5,1,256,256,84,0.0042,,15,False,902,anat,0,1.0,True,,,0.011,,False,0.9375,0.9375,1.2
,,,acquisition-VARIANTDim3Size_datatype-anat_reconstruction-refaced_run-1_suffix-T1w,datatype-anat_reconstruction-refaced_run-1_suffix-T1w__6,datatype-anat_reconstruction-refaced_run-1_suffix-T1w,6,1,256,256,105,0.0042,,15,False,902,anat,0,1.0,True,,,0.011,,False,0.9375,0.9375,1.2
,,,,datatype-dwi_run-1_suffix-dwi__1,datatype-dwi_run-1_suffix-dwi,1,512,256,256,47,0.0948,0.0008,90,False,785,dwi,0,16.0,True,2.0,j,11.6,0.1938,False,0.9375,0.9375,3.0
,,,acquisition-VARIANTPhaseEncodingDirectionTotalReadoutTimeDim3Size_datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-1_suffix-dwi__2,datatype-dwi_run-1_suffix-dwi,2,152,256,256,49,0.102,0.0008,90,False,785,dwi,0,16.0,True,2.0,i-,11.6,0.19992,False,0.9375,0.9375,3.0
,,,acquisition-VARIANTEffectiveEchoSpacingPhaseEncodingDirectionTotalReadoutTimeDim3Size_datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-1_suffix-dwi__3,datatype-dwi_run-1_suffix-dwi,3,104,256,256,43,0.0908,0.0007,90,False,785,dwi,0,16.0,True,2.0,i-,11.6,0.1734,False,0.9375,0.9375,3.0
,,,acquisition-VARIANTDim3SizeObliquity_datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-1_suffix-dwi__4,datatype-dwi_run-1_suffix-dwi,4,7,256,256,45,0.0932,0.0008,90,False,785,dwi,0,16.0,False,2.0,j,11.6,0.1938,False,0.9375,0.9375,3.0
,,,acquisition-VARIANTTotalReadoutTimeDim3Size_datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-1_suffix-dwi__5,datatype-dwi_run-1_suffix-dwi,5,6,256,256,54,0.1016,0.0008,90,False,785,dwi,0,16.0,True,2.0,j,11.6,0.1989,False,0.9375,0.9375,3.0
