Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-VARIANTUnused_datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,acquisition-VARIANTUnused_datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,4,64,64,44,0.003,,60,False,4,fmap,0,1.0,False,,1.0,j-,1.0,,False,3.75,3.75,4.0
,,,,acquisition-VARIANTUnused_datatype-fmap_fmap-magnitude2_suffix-magnitude2__1,acquisition-VARIANTUnused_datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,4,64,64,44,0.005,,60,False,4,fmap,0,1.0,False,,1.0,j-,1.0,,False,3.75,3.75,4.0
,,,,acquisition-VARIANTUnused_datatype-fmap_fmap-phase1_suffix-phase1__1,acquisition-VARIANTUnused_datatype-fmap_fmap-phase1_suffix-phase1,1,4,64,64,44,0.003,,60,False,4,fmap,0,1.0,False,,1.0,j-,1.0,,False,3.75,3.75,4.0
,,,,acquisition-VARIANTUnused_datatype-fmap_fmap-phase2_suffix-phase2__1,acquisition-VARIANTUnused_datatype-fmap_fmap-phase2_suffix-phase2,1,4,64,64,44,0.005,,60,False,4,fmap,0,1.0,False,,1.0,j-,1.0,,False,3.75,3.75,4.0
,,,,acquisition-VARIANTDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,acquisition-VARIANTDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,2,64,64,46,0.003,,60,False,2,fmap,0,1.0,False,,1.0,j-,1.0,,True,3.0,3.0,3.0
,,,,acquisition-VARIANTDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_fmap-magnitude2_suffix-magnitude2__1,acquisition-VARIANTDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,2,64,64,46,0.005,,60,False,2,fmap,0,1.0,False,,1.0,j-,1.0,,True,3.0,3.0,3.0
,,,,acquisition-VARIANTDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_fmap-phase1_suffix-phase1__1,acquisition-VARIANTDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_fmap-phase1_suffix-phase1,1,2,64,64,46,0.003,,60,False,2,fmap,0,1.0,False,,1.0,j-,1.0,,True,3.0,3.0,3.0
,,,,acquisition-VARIANTDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_fmap-phase2_suffix-phase2__1,acquisition-VARIANTDim3SizeVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-fmap_fmap-phase2_suffix-phase2,1,2,64,64,46,0.005,,60,False,2,fmap,0,1.0,False,,1.0,j-,1.0,,True,3.0,3.0,3.0
,,,,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,2,64,64,46,0.003,,60,False,2,fmap,0,1.0,False,,1.0,j-,1.0,,True,3.75,3.75,3.0
,,,,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-fmap_fmap-magnitude2_suffix-magnitude2__1,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,2,64,64,46,0.005,,60,False,2,fmap,0,1.0,False,,1.0,j-,1.0,,True,3.75,3.75,3.0
,,,,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-fmap_fmap-phase1_suffix-phase1__1,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-fmap_fmap-phase1_suffix-phase1,1,2,64,64,46,0.003,,60,False,2,fmap,0,1.0,False,,1.0,j-,1.0,,True,3.75,3.75,3.0
,,,,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-fmap_fmap-phase2_suffix-phase2__1,acquisition-VARIANTDim3SizeVoxelSizeDim3_datatype-fmap_fmap-phase2_suffix-phase2,1,2,64,64,46,0.005,,60,False,2,fmap,0,1.0,False,,1.0,j-,1.0,,True,3.75,3.75,3.0
,,,,acquisition-VARIANTObliquity_datatype-fmap_fmap-magnitude1_suffix-magnitude1__1,acquisition-VARIANTObliquity_datatype-fmap_fmap-magnitude1_suffix-magnitude1,1,1,64,64,44,0.003,,60,False,1,fmap,0,1.0,True,,1.0,j-,1.0,,True,3.75,3.75,4.0
,,,,acquisition-VARIANTObliquity_datatype-fmap_fmap-magnitude2_suffix-magnitude2__1,acquisition-VARIANTObliquity_datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,1,64,64,44,0.005,,60,False,1,fmap,0,1.0,True,,1.0,j-,1.0,,True,3.75,3.75,4.0
