Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,DwellTime,EchoTime,EffectiveEchoSpacing,FieldmapKey00,FlipAngle,IntendedForKey00,IntendedForKey01,IntendedForKey02,IntendedForKey03,IntendedForKey04,IntendedForKey05,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__5,datatype-fmap_fmap-magnitude1_suffix-magnitude1,5,17,64,64,44,,0.00269,,,60,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__6,datatype-fmap_fmap-magnitude1_suffix-magnitude1,6,17,64,64,44,,0.00269,,,60,datatype-func_suffix-bold_task-frac2back,,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__7,datatype-fmap_fmap-magnitude1_suffix-magnitude1,7,16,64,64,44,1.56e-05,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__8,datatype-fmap_fmap-magnitude1_suffix-magnitude1,8,14,64,64,44,,0.00269,,,60,datatype-func_suffix-bold_task-idemo,,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__9,datatype-fmap_fmap-magnitude1_suffix-magnitude1,9,8,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__10,datatype-fmap_fmap-magnitude1_suffix-magnitude1,10,6,64,64,44,,0.00269,,,60,acquisition-gre_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__11,datatype-fmap_fmap-magnitude1_suffix-magnitude1,11,5,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__12,datatype-fmap_fmap-magnitude1_suffix-magnitude1,12,4,64,64,44,,0.00269,,,60,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__13,datatype-fmap_fmap-magnitude1_suffix-magnitude1,13,4,64,64,44,,0.00269,,,60,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__14,datatype-fmap_fmap-magnitude1_suffix-magnitude1,14,3,64,64,44,,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__15,datatype-fmap_fmap-magnitude1_suffix-magnitude1,15,3,64,64,44,1.56e-05,0.00269,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__16,datatype-fmap_fmap-magnitude1_suffix-magnitude1,16,2,64,64,46,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.0,3.0,3.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__17,datatype-fmap_fmap-magnitude1_suffix-magnitude1,17,2,64,64,44,,0.00269,,,60,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-idemo,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__18,datatype-fmap_fmap-magnitude1_suffix-magnitude1,18,2,64,64,44,,0.00269,,,60,,,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__19,datatype-fmap_fmap-magnitude1_suffix-magnitude1,19,2,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__20,datatype-fmap_fmap-magnitude1_suffix-magnitude1,20,2,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-idemo,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__21,datatype-fmap_fmap-magnitude1_suffix-magnitude1,21,2,64,64,44,,0.00269,,,60,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__22,datatype-fmap_fmap-magnitude1_suffix-magnitude1,22,2,64,64,44,1.56e-05,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__23,datatype-fmap_fmap-magnitude1_suffix-magnitude1,23,2,64,64,44,,0.00269,,,60,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__24,datatype-fmap_fmap-magnitude1_suffix-magnitude1,24,1,64,64,44,,0.00269,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__25,datatype-fmap_fmap-magnitude1_suffix-magnitude1,25,1,64,64,44,1.56e-05,0.00269,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__26,datatype-fmap_fmap-magnitude1_suffix-magnitude1,26,1,64,64,44,1.56e-05,0.00269,,,60,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__27,datatype-fmap_fmap-magnitude1_suffix-magnitude1,27,1,64,64,46,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.75,3.75,3.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__28,datatype-fmap_fmap-magnitude1_suffix-magnitude1,28,1,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__29,datatype-fmap_fmap-magnitude1_suffix-magnitude1,29,1,64,64,46,,0.00269,,,60,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,3.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__30,datatype-fmap_fmap-magnitude1_suffix-magnitude1,30,1,64,64,44,,0.00269,,,60,suffix-m0scan,,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__31,datatype-fmap_fmap-magnitude1_suffix-magnitude1,31,1,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,True,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__32,datatype-fmap_fmap-magnitude1_suffix-magnitude1,32,1,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-hero,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__33,datatype-fmap_fmap-magnitude1_suffix-magnitude1,33,1,64,64,44,,0.00269,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__34,datatype-fmap_fmap-magnitude1_suffix-magnitude1,34,1,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude1_suffix-magnitude1__35,datatype-fmap_fmap-magnitude1_suffix-magnitude1,35,1,64,64,44,1.56e-05,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__1,datatype-fmap_fmap-magnitude2_suffix-magnitude2,1,1249,64,64,44,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__2,datatype-fmap_fmap-magnitude2_suffix-magnitude2,2,70,64,64,44,,0.00527,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__3,datatype-fmap_fmap-magnitude2_suffix-magnitude2,3,45,64,64,44,,0.00527,,,60,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__4,datatype-fmap_fmap-magnitude2_suffix-magnitude2,4,24,64,64,44,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__5,datatype-fmap_fmap-magnitude2_suffix-magnitude2,5,17,64,64,44,,0.00527,,,60,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__6,datatype-fmap_fmap-magnitude2_suffix-magnitude2,6,17,64,64,44,,0.00527,,,60,datatype-func_suffix-bold_task-frac2back,,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__7,datatype-fmap_fmap-magnitude2_suffix-magnitude2,7,16,64,64,44,1.56e-05,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__8,datatype-fmap_fmap-magnitude2_suffix-magnitude2,8,14,64,64,44,,0.00527,,,60,datatype-func_suffix-bold_task-idemo,,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__9,datatype-fmap_fmap-magnitude2_suffix-magnitude2,9,8,64,64,44,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__10,datatype-fmap_fmap-magnitude2_suffix-magnitude2,10,6,64,64,44,,0.00527,,,60,acquisition-gre_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__11,datatype-fmap_fmap-magnitude2_suffix-magnitude2,11,5,64,64,44,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__12,datatype-fmap_fmap-magnitude2_suffix-magnitude2,12,4,64,64,44,,0.00527,,,60,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__13,datatype-fmap_fmap-magnitude2_suffix-magnitude2,13,4,64,64,44,,0.00527,,,60,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__14,datatype-fmap_fmap-magnitude2_suffix-magnitude2,14,3,64,64,44,,0.00527,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__15,datatype-fmap_fmap-magnitude2_suffix-magnitude2,15,3,64,64,44,1.56e-05,0.00527,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__16,datatype-fmap_fmap-magnitude2_suffix-magnitude2,16,2,64,64,46,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.0,3.0,3.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__17,datatype-fmap_fmap-magnitude2_suffix-magnitude2,17,2,64,64,44,,0.00527,,,60,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-idemo,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__18,datatype-fmap_fmap-magnitude2_suffix-magnitude2,18,2,64,64,44,,0.00527,,,60,,,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__19,datatype-fmap_fmap-magnitude2_suffix-magnitude2,19,2,64,64,44,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__20,datatype-fmap_fmap-magnitude2_suffix-magnitude2,20,2,64,64,44,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-idemo,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__21,datatype-fmap_fmap-magnitude2_suffix-magnitude2,21,2,64,64,44,,0.00527,,,60,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,suffix-m0scan,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__22,datatype-fmap_fmap-magnitude2_suffix-magnitude2,22,2,64,64,44,1.56e-05,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__23,datatype-fmap_fmap-magnitude2_suffix-magnitude2,23,2,64,64,44,,0.00527,,,60,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__24,datatype-fmap_fmap-magnitude2_suffix-magnitude2,24,1,64,64,44,,0.00527,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__25,datatype-fmap_fmap-magnitude2_suffix-magnitude2,25,1,64,64,44,1.56e-05,0.00527,,,60,acquisition-se_suffix-asl,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__26,datatype-fmap_fmap-magnitude2_suffix-magnitude2,26,1,64,64,44,1.56e-05,0.00527,,,60,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__27,datatype-fmap_fmap-magnitude2_suffix-magnitude2,27,1,64,64,46,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.75,3.75,3.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__28,datatype-fmap_fmap-magnitude2_suffix-magnitude2,28,1,64,64,44,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__29,datatype-fmap_fmap-magnitude2_suffix-magnitude2,29,1,64,64,46,,0.00527,,,60,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,3.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__30,datatype-fmap_fmap-magnitude2_suffix-magnitude2,30,1,64,64,44,,0.00527,,,60,suffix-m0scan,,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__31,datatype-fmap_fmap-magnitude2_suffix-magnitude2,31,1,64,64,44,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,True,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__32,datatype-fmap_fmap-magnitude2_suffix-magnitude2,32,1,64,64,44,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-hero,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__33,datatype-fmap_fmap-magnitude2_suffix-magnitude2,33,1,64,64,44,,0.00527,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__34,datatype-fmap_fmap-magnitude2_suffix-magnitude2,34,1,64,64,44,,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-magnitude2_suffix-magnitude2__35,datatype-fmap_fmap-magnitude2_suffix-magnitude2,35,1,64,64,44,1.56e-05,0.00527,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-phase1_suffix-phase1__1,datatype-fmap_fmap-phase1_suffix-phase1,1,1264,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-phase1_suffix-phase1__2,datatype-fmap_fmap-phase1_suffix-phase1,2,70,64,64,44,,0.00269,,,60,acquisition-100_datatype-func_suffix-bold_task-rest,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-phase1_suffix-phase1__3,datatype-fmap_fmap-phase1_suffix-phase1,3,47,64,64,44,,0.00269,,,60,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-phase1_suffix-phase1__4,datatype-fmap_fmap-phase1_suffix-phase1,4,24,64,64,44,,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
,,,,datatype-fmap_fmap-phase1_suffix-phase1__5,datatype-fmap_fmap-phase1_suffix-phase1,5,17,64,64,44,1.56e-05,0.00269,,,60,acquisition-singleband_datatype-func_suffix-bold_task-rest,datatype-dwi_run-1_suffix-dwi,datatype-dwi_run-2_suffix-dwi,datatype-func_suffix-bold_task-frac2back,datatype-func_suffix-bold_task-idemo,,0,,False,,1.0,j-,1.0,,3.75,3.75,4.0
