image_file,ave_score
NDARAT680GJA_VNavNorm_A3,0.666666666666667
NDARAT680GJA_VNavNorm_S1,0.833333333333333
NDARAT680GJA_VNavNorm_S2,0.5
NDARAT680GJA_VNavNorm_S3,0.666666666666667
NDARAV187GJ5_HCP_A1,0.166666666666667
NDARAV187GJ5_HCP_A2,0.5
NDARAV187GJ5_HCP_A3,1
NDARAV187GJ5_HCP_S1,0.666666666666667
NDARAV187GJ5_HCP_S2,0.5
NDARAV187GJ5_HCP_S3,0.666666666666667
NDARAV187GJ5_VNavNorm_A1,0.333333333333333
NDARAV187GJ5_VNavNorm_A2,0.833333333333333
NDARAV187GJ5_VNavNorm_A3,0.833333333333333
NDARAV187GJ5_VNavNorm_S1,0.5
NDARAV187GJ5_VNavNorm_S2,0.666666666666667
NDARAV187GJ5_VNavNorm_S3,0.5
NDARBF851NH6_HCP_A1,0.666666666666667
NDARBF851NH6_HCP_A2,0.833333333333333
NDARBF851NH6_HCP_A3,0.833333333333333
NDARBF851NH6_HCP_S1,0.833333333333333
NDARBF851NH6_HCP_S2,0.5
NDARBF851NH6_HCP_S3,0.833333333333333
NDARBF851NH6_VNavNorm_A1,0.5
NDARBF851NH6_VNavNorm_A2,0.666666666666667
NDARBF851NH6_VNavNorm_A3,1
NDARBF851NH6_VNavNorm_S1,0.833333333333333
NDARBF851NH6_VNavNorm_S2,0.666666666666667
NDARBF851NH6_VNavNorm_S3,1
NDARBG188RA5_HCP_A1,0.5
NDARBG188RA5_HCP_A2,0.5
NDARBG188RA5_HCP_A3,1
NDARBG188RA5_HCP_S1,0.666666666666667
NDARBG188RA5_HCP_S2,0.5
NDARBG188RA5_HCP_S3,0.333333333333333
NDARBG188RA5_VNavNorm_A1,0.5
NDARBG188RA5_VNavNorm_A2,0.666666666666667
NDARBG188RA5_VNavNorm_A3,0.666666666666667
NDARBG188RA5_VNavNorm_S1,0.833333333333333
NDARBG188RA5_VNavNorm_S2,0.833333333333333
NDARBG188RA5_VNavNorm_S3,0.833333333333333
NDARBH992ARB_HCP_A1,0.333333333333333
NDARBH992ARB_HCP_A2,0.333333333333333
NDARBH992ARB_HCP_A3,0.5
NDARBH992ARB_HCP_S1,0.666666666666667
NDARBH992ARB_HCP_S2,0.333333333333333
NDARBH992ARB_HCP_S3,0.5
NDARBH992ARB_VNavNorm_A1,0.166666666666667
NDARBH992ARB_VNavNorm_A2,0.833333333333333
NDARBH992ARB_VNavNorm_A3,1
NDARBH992ARB_VNavNorm_S1,0.833333333333333
NDARBH992ARB_VNavNorm_S2,0.666666666666667
NDARBH992ARB_VNavNorm_S3,0.666666666666667
NDARBK638HLZ_HCP_A1,0
NDARBK638HLZ_HCP_A2,0.166666666666667
NDARBK638HLZ_HCP_A3,0.166666666666667
NDARBK638HLZ_HCP_S1,0
NDARBK638HLZ_HCP_S2,0
NDARBK638HLZ_HCP_S3,0.166666666666667
NDARBK638HLZ_VNavNorm_A1,0.166666666666667
NDARBK638HLZ_VNavNorm_A2,0.833333333333333
NDARBK638HLZ_VNavNorm_A3,0.833333333333333
