Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,,acquisition-HCPVARIANTEchoTimeDim1Size_datatype-anat_session-HBNsiteRU_suffix-T2w__1,acquisition-HCPVARIANTEchoTimeDim1Size_datatype-anat_session-HBNsiteRU_suffix-T2w,1,1,202,320,320,0.564,,120,False,1,anat,,0,1.0,False,2.0,1.0,,3.2,,False,0.8,0.8,0.8
,,,,acquisition-HCPVARIANTVoxelSizeDim2VoxelSizeDim3_datatype-anat_session-HBNsiteRU_suffix-T1w__1,acquisition-HCPVARIANTVoxelSizeDim2VoxelSizeDim3_datatype-anat_session-HBNsiteRU_suffix-T1w,1,1,224,320,320,0.003,,8,False,1,anat,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.769,0.769
,,,,acquisition-VNavNormVARIANTDim1Size_datatype-anat_session-HBNsiteCUNY_suffix-T1w__1,acquisition-VNavNormVARIANTDim1Size_datatype-anat_session-HBNsiteCUNY_suffix-T1w,1,1,114,256,256,0.003,,8,False,1,anat,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,,acquisition-64dir_datatype-dwi_session-HBNsiteRU_suffix-dwi__1,acquisition-64dir_datatype-dwi_session-HBNsiteRU_suffix-dwi,1,862,104,104,72,0.1,0.0004,90,True,862,dwi,,0,129.0,True,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_session-HBNsiteCBIC_suffix-dwi__1,acquisition-64dir_datatype-dwi_session-HBNsiteCBIC_suffix-dwi,1,847,104,104,72,0.1,0.0004,90,True,847,dwi,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,,acquisition-64dir_datatype-dwi_session-HBNsiteSI_suffix-dwi__1,acquisition-64dir_datatype-dwi_session-HBNsiteSI_suffix-dwi,1,269,96,96,72,0.094,0.0007,90,True,269,dwi,3.0,72,129.0,False,,0.75,j-,4.5,0.07,False,2.0,2.0,2.0
,,,,acquisition-64dir_datatype-dwi_session-HBNsiteCUNY_suffix-dwi__1,acquisition-64dir_datatype-dwi_session-HBNsiteCUNY_suffix-dwi,1,73,104,104,72,0.1,0.0004,90,True,73,dwi,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,,acquisition-64dirVARIANTObliquity_datatype-dwi_session-HBNsiteCBIC_suffix-dwi__1,acquisition-64dirVARIANTObliquity_datatype-dwi_session-HBNsiteCBIC_suffix-dwi,1,34,104,104,72,0.1,0.0004,90,True,34,dwi,3.0,72,129.0,True,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.8
,,,,acquisition-ABCD64dir_datatype-dwi_session-HBNsiteCBIC_suffix-dwi__1,acquisition-ABCD64dir_datatype-dwi_session-HBNsiteCBIC_suffix-dwi,1,15,140,140,81,0.089,0.0007,90,False,15,dwi,,0,129.0,False,,0.75,j-,4.1,0.09,False,1.714,1.714,1.7
,,,,acquisition-64dirVARIANTObliquity_datatype-dwi_session-HBNsiteSI_suffix-dwi__1,acquisition-64dirVARIANTObliquity_datatype-dwi_session-HBNsiteSI_suffix-dwi,1,12,96,96,72,0.094,0.0007,90,True,12,dwi,3.0,72,129.0,True,,0.75,j-,4.5,0.07,False,2.0,2.0,2.0
,,,,acquisition-64dirVARIANTEchoTimePhaseEncodingDirection_datatype-dwi_session-HBNsiteSI_suffix-dwi__1,acquisition-64dirVARIANTEchoTimePhaseEncodingDirection_datatype-dwi_session-HBNsiteSI_suffix-dwi,1,9,96,96,72,0.095,0.0007,90,True,9,dwi,3.0,72,129.0,False,,0.75,i,4.5,0.07,False,2.0,2.0,2.0
