Notes,ManualCheck,MergeInto,RenameKeyGroup,KeyParamGroup,KeyGroup,ParamGroup,Counts,Dim1Size,Dim2Size,Dim3Size,EchoTime,EffectiveEchoSpacing,FlipAngle,HasFieldmap,KeyGroupCount,Modality,MultibandAccelerationFactor,NSliceTimes,NumVolumes,Obliquity,ParallelReductionFactorInPlane,PartialFourier,PhaseEncodingDirection,RepetitionTime,TotalReadoutTime,UsedAsFieldmap,VoxelSizeDim1,VoxelSizeDim2,VoxelSizeDim3
,,,acquisition-VNavNormVARIANTEchoTimeDim1Size_datatype-anat_suffix-T1w,acquisition-VNavNorm_datatype-anat_suffix-T1w__3,acquisition-VNavNorm_datatype-anat_suffix-T1w,3,1,114.0,256.0,256.0,0.0029,,8,False,873,anat,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,acquisition-VNavNormVARIANTDim1SizeVoxelSizeDim1_datatype-anat_suffix-T1w,acquisition-VNavNorm_datatype-anat_suffix-T1w__4,acquisition-VNavNorm_datatype-anat_suffix-T1w,4,1,32.0,256.0,256.0,0.00288,,8,False,873,anat,,0,1.0,False,2.0,1.0,,2.5,,False,5.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_suffix-T1w__1,acquisition-VNav_datatype-anat_suffix-T1w,1,865,176.0,256.0,256.0,0.00288,,8,False,867,anat,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,acquisition-VNavVARIANTDim1Size_datatype-anat_suffix-T1w,acquisition-VNav_datatype-anat_suffix-T1w__2,acquisition-VNav_datatype-anat_suffix-T1w,2,1,112.0,256.0,256.0,0.00288,,8,False,867,anat,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,acquisition-VNavVARIANTDim1SizeVoxelSizeDim1_datatype-anat_suffix-T1w,acquisition-VNav_datatype-anat_suffix-T1w__3,acquisition-VNav_datatype-anat_suffix-T1w,3,1,32.0,256.0,256.0,0.00288,,8,False,867,anat,,0,1.0,False,2.0,1.0,,2.5,,False,5.0,1.0,1.0
,,,,datatype-anat_suffix-T1w__1,datatype-anat_suffix-T1w,1,343,176.0,256.0,256.0,0.00164,,7,False,343,anat,,0,1.0,False,2.0,1.0,,2.73,,False,1.0,1.0,1.0
,,,,acquisition-HCP_datatype-anat_run-1_suffix-T1w__1,acquisition-HCP_datatype-anat_run-1_suffix-T1w,1,136,224.0,320.0,320.0,0.00315,,8,False,137,anat,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTDim1SizeDim2SizeDim3SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_run-1_suffix-T1w,acquisition-HCP_datatype-anat_run-1_suffix-T1w__2,acquisition-HCP_datatype-anat_run-1_suffix-T1w,2,1,,,,0.00315,,8,False,137,anat,,0,1.0,,2.0,1.0,,2.5,,False,,,
,,,,acquisition-HCP_datatype-anat_run-2_suffix-T1w__1,acquisition-HCP_datatype-anat_run-2_suffix-T1w,1,136,224.0,320.0,320.0,0.00315,,8,False,137,anat,,0,1.0,False,2.0,1.0,,2.5,,False,0.8,0.8,0.8
,,,acquisition-HCPVARIANTParallelReductionFactorInPlaneDim1SizeDim2SizeDim3SizeVoxelSizeDim2VoxelSizeDim3_datatype-anat_run-2_suffix-T1w,acquisition-HCP_datatype-anat_run-2_suffix-T1w__2,acquisition-HCP_datatype-anat_run-2_suffix-T1w,2,1,144.0,256.0,256.0,0.00315,,8,False,137,anat,,0,1.0,False,4.0,1.0,,2.5,,False,0.8,1.0,1.0
,,,,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w,1,127,176.0,256.0,256.0,0.00288,,8,False,129,anat,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,acquisition-VNavNormVARIANTDim1SizeDim2SizeDim3SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_run-1_suffix-T1w,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_run-1_suffix-T1w,2,2,,,,0.00288,,8,False,129,anat,,0,1.0,,2.0,1.0,,2.5,,False,,,
,,,,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w__1,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w,1,127,176.0,256.0,256.0,0.00288,,8,False,128,anat,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,acquisition-VNavNormVARIANTDim1SizeDim2SizeDim3SizeObliquityVoxelSizeDim1VoxelSizeDim2VoxelSizeDim3_datatype-anat_run-2_suffix-T1w,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w__2,acquisition-VNavNorm_datatype-anat_run-2_suffix-T1w,2,1,,,,0.00288,,8,False,128,anat,,0,1.0,,2.0,1.0,,2.5,,False,,,
,,,,acquisition-VNav_datatype-anat_run-1_suffix-T1w__1,acquisition-VNav_datatype-anat_run-1_suffix-T1w,1,128,176.0,256.0,256.0,0.00288,,8,False,128,anat,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,,acquisition-VNav_datatype-anat_run-2_suffix-T1w__1,acquisition-VNav_datatype-anat_run-2_suffix-T1w,1,128,176.0,256.0,256.0,0.00288,,8,False,128,anat,,0,1.0,False,2.0,1.0,,2.5,,False,1.0,1.0,1.0
,,,,acquisition-64dir_datatype-dwi_suffix-dwi__1,acquisition-64dir_datatype-dwi_suffix-dwi,1,921,104.0,104.0,72.0,0.1,0.00039,90,True,2168,dwi,3.0,72,129.0,False,2.0,1.0,j-,3.32,0.04,False,1.798,1.798,1.7999999523162842
